"Collection Name","Title#1","Subtitle#1","Alternative Title#1","Alternative Title#1$2","Alternative Title#1$1","Alternative Title#1$4","Alternative Title#1$3","Title#2","Name Part#1","Name Part Date#1","Name Display Form#1","Name Role Term Text#1","Name Type#1","Name Authority#1","Name Part#2","Name Part Date#2","Name Display Form#2","Name Role Term Text#2","Name Authority#2","Name Part#3","Name Part Date#3","Name Display Form#3","Name Authority#3","Name Part#4","Name Part Date#4","Name Display Form#4","Name Authority#4","Name Part#5","Name Display Form#5","Name Authority#5","Type of Resource#1","Genre#1","Genre Authority#1","Genre Type#1","Place Term#1","Place Term Type#1","Place Term Authority#1","Publisher#1","Publisher#1$1","Publisher#1$2","Date Issued#1","Date Issued#1$1","Date Issued#1$2","Date Created#1","Date Captured#1","Edition#1","Place Term#2","Place Term Type#2","Place Term Authority#2","Publisher#2","Date Issued#2","Language Term#1","Language Term Code#1","Language Term Code Authority#1","Language Term Type#1","Form#1","Form Authority#1","Internet Media Type#1","Extent#1","Digital Origin#1","Physical Description Note#1","Note#1","Note#2","Note#3","Note#4","Note#5","Note#6","Note#7","Note#8","Note#9","Note#10","Note#11","Subject Topic#1","Subject Topic#1$4","Subject Topic#1$3","Subject Topic#1$6","Subject Topic#1$5","Subject Topic#1$8","Subject Topic#1$7","Subject Topic#1$9","Subject Topic#1$2","Subject Topic#1$1","Subject Authority#1","Subject Geographic#1","Subject Geographic Authority#1","Subject Temporal#1","Subject Temporal Authority#1","Subject Title Info#1","Subject Name#1$1","Subject Name#1$2","Subject Geographic Code#1","Subject Geographic Code Authority#1","Subject Genre#1$2","Subject Genre#1$1","Subject Genre#1$3","Subject Genre#1","Subject Genre Authority#1","Subject Cartographics Scale#1","Subject Cartographics Scale#1$1","Subject Cartographics Scale#1$2","Subject Cartographics Coordinates#1$1","Subject Cartographics Coordinates#1$2","Subject Cartographics Coordinates#1","Subject Geographic#2","Subject Geographic Authority#2","Subject Geographic#3","Subject Geographic Authority#3","Subject Geographic#4","Subject Geographic Authority#4","Related Item#1","Related Item Type#1","Related Item Identifier#1","Related Item Identifier URI#1","Identifier#1","Identifier Type#1","Identifier URI#1","Physical Location#1","Physical Location Type#1","Shelf Identifier#1","Location URL#1","Rights#1","Rights#2","Rights#3","Rights#4","ln_RECORDID","ln_RECORD_BATCHID","lnexp_MEDIAFILENAME","lnexp_PAGEURL"
"Colorado Historical Maps","Approved mineral surveys of the principal mining districts in Boulder County, Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","","Geographic","http://id.loc.gov/authorities/names/n79018774","","","","","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","","","reformatted digital","","","","","","","","","","","","","","","","","","","","","","","lcsh","","","","","","","","","","","","","Maps","lcgft","","","","","","","","","","","","","","","","","maps_1916_boulderCountyMineralSurveys.jp2","","Catalog record: https://libraries.colorado.edu/record=b8440955","Jerry Crail Johnson Earth Sciences & Map Library","current","G4313.B6H1 1916 .C5","","[Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.]","","","","165","4742","","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~165~"
"Colorado Historical Maps","Approved mineral surveys in the Cripple Creek Mining District, Teller County, formerly Fremont and El Paso Counties, Colorado","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","","Geographic","http://id.loc.gov/authorities/names/n79018774","","","","","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","","","reformatted digital","","","","","","","","","","","","","","","","","","","","","","","lcsh","","","","","","","","","","","","","Maps","lcgft","","","","","","","","","","","","","","","","","maps_1900_crippleCreekMineralSurveys.jp2","","Catalog record: https://libraries.colorado.edu/record=b10765733","Jerry Crail Johnson Earth Sciences & Map Library","current","G4313.T4H2 1900 D3","","[Copyright and other restrictions may apply. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.]","","","","166","4742","","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~166~"
"Colorado Historical Maps","Baldwin's map of mining claims near Leadville, California Mining District, Lake Co. Colorado","","","Leadville, California Mining District, Lake County, Colorado","California Mining District, Lake County, Colorado","","","","Sizer, F. L","","","","","","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","[United States]","Geographic","http://id.loc.gov/authorities/names/n78095330","C. C. Baldwin & Co.","","","1879","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","1 map ; 63 x 92 cm, folded in cover to 17 x 10 cm","reformatted digital","","""F.L. Sizer, Draughtsman.""","Shows mining claims, placer claims (producing mines indicated), gulches, creeks, towns, claim group names, and sections","""Jany. 1879 ... Entered according to act of Congress A.D. 1879, by Baldwin and Co., with the Librarian of Congress, at Washington. W.J. Morgan & Co., Cleveland, O.""--Below title area","""Claims which have been surveyed for a patent are designated by the official number.""","","","","","","","","","","","","","","","","Mining claims--Colorado--Lake County--Maps","Mining claims","lcsh","Lake County (Colorado, United States, North America) (civil)","GNIS: 198149","","","","","","","","","","","Maps","lcgft","Scale 1:9,600 800 ft. to the in. 6.6 in.-1 mile","","","","","(W 106°19'10""--W 106°13'10""/N 39°15'35""--N 39°13'10"")","","","","","","","","","","","maps_coHistorical_baldwinsLeadville1879_d.jpg","local","Catalog record: https://libraries.colorado.edu/record=b6603354","Jerry Crail Johnson Earth Sciences & Map Library","current","G4313.L2H1 1879 .S5","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","","","","114","4742","maps_coHistorical_baldwinsLeadville1879_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~114~232509"
"Colorado Historical Maps","Biennial report of the State Engineer of the State of Colorado for the years","","","Biennial report of the State Engineer to the Governor of Colorado for the years","State Engineer's report","Department of Water Resources...biennial report of the State Engineer to the Governor of Colorado for the years...1935/36-","Report of the State Engineer to the Governor of Colorado, for the years 1881/82-1883/84","","Colorado. Office of the State Engineer","","Colorado. Office of the State Engineer","","","http://id.loc.gov/authorities/names/n82131623","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","[Denver (Colo.)]","Geographic","http://id.loc.gov/authorities/names/n79018774","[The Office]","","","","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","volumes ; 23 cm","reformatted digital","","Title varies slightly","At head of title: 1935/36-     ,  Department of Water Resources","""Report of the State Engineer to the Governor of Colorado, for the years"" is not the title on 1881/1882 issue, but is the title on for 1883/1884 issue","","","","","","","","","","","","","","","","","Water-supply--Colorado","Irrigation--Colorado","lcsh","","","","","","","","","","","","","Maps","lcgft","","","","","","","","","","","","","","","","","maps_coHistorical_sanLuisWaterDiv1890.jp2","local","Catalog record: https://libraries.colorado.edu/record=b2812888","Jerry Crail Johnson Earth Sciences & Map Library","current","G4311.C3 1890 .C6 plate 5","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","LIMITED USE ITEM(S): Use may be restricted to a CUB Libraries location. Patron will be contacted with details of use","Continues: Colorado. Office of the State Engineer. Report of the State Engineer to the Governor of Colorado, for the years","Special Collections copy must be assessed by Special Collections staff to determine if reproduction (digital or photocopy) is permitted","161","4742","maps_coHistorical_sanLuisWaterDiv1890.jp2","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~161~223199"
"Colorado Historical Maps","Boulder","","Only fifty minutes to Boulder in palace cars by the old reliable U.P.R.R.","","","","","","Denver Lith. Co.","","Denver Lith. Co.","","","http://id.loc.gov/authorities/names/n82006058","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","Denver (Colo.)","Geographic","http://id.loc.gov/authorities/names/n79055157","Denver Litho. Co.","","","After 1894","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","1 view: color; 35 x 44 cm","reformatted digital","","Relief shown pictorially.","Birds-eye view of Boulder and the mountain peaks to the west of the city.","Map includes three named subdivisions of Boulder: Newlands, University Terrace, and University Place. Per Boulder County Clerk and Recorder's Office records, the latest of these to be established, University Terrace, was recorded in 1894, so the date of the map must be 1894 or later.","","","","","","","","","","","","","","","","","","","lcsh","Boulder (Boulder, Colorado, United States, North America) (populated place)","GNIS: 178680","","","","","","","","","","","Aerial views","lcgft","Not drawn to scale.","","","","","","","","","","","","","","","","maps_coHistorical_fiftyMinBoulder_front_d.jp2","local","Catalog record: http://libraries.colorado.edu/record=b4810564~S3","Jerry Crail Johnson Earth Sciences & Map Library","current","G4314.B5A3 189- .D4","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","60","4557","maps_coHistorical_fiftyMinBoulder_front_d.jp2","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~60~189744"
"Colorado Historical Maps","Boulder Co., Colorado","","","","","","","","Freeze, Sam'l","","Freeze, Sam'l (Samuel)","","","https://id.loc.gov/authorities/names/no2009102242.html","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","[S.n.]","Geographic","","[s.l.]","","","[1881]","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","16 maps on 1 sheet : color, mounted on linen ; sheet 99 x 125 cm","reformatted digital","","""Compiled in part from official data, and in part from actual surveys made for the purpose, by Sam'l Freeze, in October, November, December and January, A.D., 1880-'81.""","""Lithographed by A. Gast & Co.'s new process, St. Louis.""","Boulder, Co., Colorado -- Map of Boulder, Colorado -- Boulder east of 19th street -- Sunshine -- Gold Hill, Summerville, & Salina -- Ward -- Caribou -- Nederland -- Longmont -- Louisville -- Canfield -- Marshall -- Valmont -- Jamestown -- Springdale -- Caribou Hill","""Subscribers' Directory"" below maps","","","","","","","","","","","","","","","","","","","Boulder County (Colorado, United States, North America) (civil)","GNIS: 198122","","","","","","","","","","","Maps","lcgft","","","","","","","","","","","","","","","","","maps_coHistorical_boulderCounty1881.jp2","local","Catalog record: https://libraries.colorado.edu/record=b5511556","Jerry Crail Johnson Earth Sciences & Map Library","current","G4313.B6 1881 .F7","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","","","","152","4742","maps_coHistorical_boulderCounty1881.jp2","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~152~223202"
"Colorado Historical Maps","Broadmoor ","","","","","","","","Saabye, H. E. G","","","","","","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","Denver (Colo.)","Geographic","http://id.loc.gov/authorities/names/n79055157","Denver Litho Co.","","","[between 1890 and 1902?]","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","1 map ; 41 x 69 cm","reformatted digital","","Relief shown by hachures","Date derived from presence of Colorado Springs Rapid Transit Railway, consolidated in 1902 with Colorado Springs Suburban Railway Company (Transit Journal, volume 20, Sept. 13, 1902, page 377) and presence of Cheyenne Lake","Shows streets, blocks, and lot numbers with lot size in feet, and bodies of water. Also shows Colorado Springs Rapid Transit Railway and Piedmont area","C.U. Libraries copy lacks lower left corner (approximately one eighth of map) but shows northernmost shore of Cheyenne Lake","","","","","","","","Cities and towns--Colorado--Maps","","","","","","","","","","lcsh","Broadmoor (El Paso, Colorado, United States, North America) (populated place)","GNIS: 193527","","","","","","","","","","","Maps","lcgft","Scale approximately 1:4,800. 400 ft. = 1 in.","","","","","(W 104°51'15""--W 104°49'40""/N 38°48'05""--N 38°47'15"")","Colorado Springs (El Paso, Colorado, United States, North America) (populated place)","GNIS: 204797","","","","","","","","","maps_coHistorical_broadmoor_d.jpg","local","Catalog record: https://libraries.colorado.edu/record=b10775294","Jerry Crail Johnson Earth Sciences & Map Library","current","G4314.B7 1890 .S2","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","","","","110","4742","maps_coHistorical_broadmoor_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~110~232507"
"Colorado Historical Maps","Bœhmer's topographical map of the carbonate regions in the vicinity of Leadville, Colorado : showing location of mines and prominent prospects from actual surveys made in October 1879","Showing location of mines and prominent prospects from actual surveys made in October 1879","","","","","","","Boehmer, Max","","Boehmer, Max","","","http://id.loc.gov/authorities/names/no2019081158","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","[Leadville (Colo.)?]","Geographic","http://id.loc.gov/authorities/names/n79121702","[Max Boehmer?]","","","1879","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","1 map : color ; 52 x 84 cm, folded to 17 x 11 cm, in book covers 18 x 12 cm","reformatted digital","","Relief shown by hachures","North oriented to left","Shows area from Leadville in the west to Ball Mountain in the east, and  from Prospect Mountain in the north to Empire and Thompson's Gulches in the south","Title on book covers: Bœhmer's topographical map of the carbonate regions in the vicinity of Leadville, Colorado","""Magnetic variation = 14°27ʹ East.""","On title block: ""Note: The semi-circle above the arrow is divided into single degrees for the purpose of enabling anyone, with the assistance of straight-edge and triangle, to locate and plot the surface boundaries of any claim on the map.""","","","","","","","","","","","","","","Mines and mineral resources--Colorado--Lake County--Maps","Mines and mineral resources","lcsh","Lake County (Colorado, United States, North America) (civil)","GNIS: 198149","","","","","","","","","","","Maps","lcgft","Scale 1:12,000. 1000 ft. = 1 in.","","","","","(W 106°17'40""--W 106°13'00""/N 39°16'50""--N 39°12'15"")","","","","","","","","","","","maps_coHistorical_boehmersCarbonate1879_d.jpg","local","Catalog record: https://libraries.colorado.edu/record=b10541312","Jerry Crail Johnson Earth Sciences & Map Library","current","G4313.L2 C2 1879 .B6","","The organization that has made the Item available believes that the Item is in the Public Domain under the laws of the United States, but a determination was not made as to its copyright status under the copyright laws of other countries. The Item may not be in the Public Domain under the laws of other countries. Please refer to the organization that has made the Item available for more information. URI: http://rightsstatements.org/vocab/NoC-US/1.0/","","","","113","4742","maps_coHistorical_boehmersCarbonate1879_d.jpg","https://cudl.colorado.edu//luna/servlet/detail/CUB~13~13~113~232508"
"Colorado Historical Maps","Cannon's map of the mineral belt of Colorado","","","","","","","","Hunter, Thomas","","Hunter, Thomas (Lithographer)","","","http://id.loc.gov/authorities/names/no2016018204","","","","","","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","Philadelphia (Pa.)","Geographic","http://id.loc.gov/authorities/names/n78095520","Thos. Hunter, Lith.","","","Approximately 1882","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","1 map: color; 73 x 66 cm, folded in cover 18 x 11 cm","reformatted digital","","Relief shown by hachures.","Shows mineral districts, railroads and land districts from Denver and Pueblo in the east to the western boundary of the state.","Includes business directory of Denver, Georgetown, Leadville, Rosita, Lake City, Tomichi and Bonanza.","Advertisements for merchants and illustrations in the margin.","","","","","","","","Mines and mineral resources--Colorado--Maps","","","","","","","","","","lcsh","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","","","","","","","","","","","Maps","lcgft","Scale approximately 1:663,600, 10 miles to 1 inch","","","","","W 109°--W 104°36'/N 41°--N 37°","","","","","","","","","","","maps_coHistorical_CannonsMineralBeltMap.jp2","local","Catalog record: http://libraries.colorado.edu/record=b4810700~S3","Jerry Crail Johnson Earth Sciences & Map Library","current","G4311.H1 1882 .C3","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","10","4545","maps_coHistorical_CannonsMineralBeltMapCover.jp2|maps_coHistorical_CannonsMineralBeltMap.jp2",""
"Colorado Historical Maps","","","Why Colorado wants you, Mr. Farmer and Manufacturer","","","","","Clason's guide map of Colorado","Clason Map Co.","","Clason Map Co.","","","http://id.loc.gov/authorities/names/nr98013404","Colorado. State Board of Immigration","","Colorado. State Board of Immigration","","http://id.loc.gov/authorities/names/nr95016393","","","","","","","","","","","","cartographic image","map","http://id.loc.gov/vocabulary/marcgt/map","marcgt","Denver (Colo.)","Geographic","http://id.loc.gov/authorities/names/n79055157","Clason Map Co.","","","1917","","","","","","","","","","","English","eng","ISO639-2","text","cartographic material","lcgft","image/jp2","1 map: color; 42 x 55 cm, on sheet 57 x 82 cm, folded to 23 x 10 cm","reformatted digital","","Relief shown by hachures.","Folded title: Why Colorado wants you, Mr. Farmer and Manufacturer.","Shows state land districts, land offices, national forests, and semi-arid areas for 320-acre homestead entries.","""Index 1917"" to towns, keyed to location on map.","Includes photographs of educational, industrial and recreational scenes in margin.","Illustrations and text describing Colorado, including agricultural and industrial topics, on verso.","","","","","","","","Roads--Colorado--Maps","","","","","","Agriculture--Colorado--Maps","Colorado--Economic conditions--Maps","lcsh","Colorado (United States, North America) (first order administrative divisions)","http://id.loc.gov/authorities/names/n80125532","","","","","","","","Road maps","Maps","","","lcgft","Scale approximately 1:1,200,000","","","","","W 109°--W 102°/N 41°--N 37°","","","","","","","","","","","maps_coHistorical_clasonsGuide1917_front_d.jp2","local","Catalog record: http://libraries.colorado.edu/record=b10132767~S3","Jerry Crail Johnson Earth Sciences & Map Library","current","G4311.P2 1917 .C5","","Material is believed to be in the public domain. However, other rights and restrictions may apply, such as privacy and publicity rights. User is responsible for compliance with all applicable laws. For information about copyright law, please see https://www.cusys.edu/DigitalLibrary/copyright.html.","","","","63","4557","maps_coHistorical_clasonsGuide1917_front_d.jp2|maps_coHistorical_clasonsGuide1917_back_d.jp2",""
